product_category_id,business_category
1,Bikes
2,Components
3,Clothing
4,Accessories
5,Bikes
6,Bikes
7,Bikes
8,Components
9,Components
10,Components
11,Components
12,Components
13,Components
14,Components
15,Components
16,Components
17,Components
18,Components
19,Components
20,Components
21,Components
22,Clothing
23,Clothing
24,Clothing
25,Clothing
26,Clothing
27,Clothing
28,Clothing
29,Clothing
30,Accessories
31,Accessories
32,Accessories
33,Accessories
34,Accessories
35,Accessories
36,Accessories
37,Accessories
38,Accessories
39,Accessories
40,Accessories
41,Accessories
